139685650219792_missing,139685650220080_extra,139685650219552_mispositioned,139685650219984_missing,139685650220656_extra,139685650220512_mispositioned,139685650219312_missing,139685650219072_extra,139685650219408_mispositioned,139685650220992_missing,139685650221232_extra,139685650220752_mispositioned,139685650223056_lidar_to_camera,139685650222144_radar_to_camera,139685650222624_radar_to_lidar,139685650222912_radar_to_sensor_fusion,139685650221904_lidar_to_sensor_fusion,139685650219168_misdetection,139685650220128_misdetection,139685650220368_misdetection,139685650221280_misdetection
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1
0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
